branded_food_category,revised_food_category
Includes products from animals of the domestic ...,Includes products from animals of the domestic ...
Includes products from animals of the domestic ...,Includes products from animals of the domestic ...
Includes products from animals of the species G...,Includes products from animals of the species G...
"Jam, Jelly & Fruit Spreads","Jam, Jelly & Fruit Spreads"
"Ketchup, Mustard, BBQ & Cheese Sauce","Ketchup, Mustard, BBQ & Cheese Sauce"
Lunch Snacks & Combinations,Lunch Snacks & Combinations
Meal Replacement Supplements,Meal Replacement Supplements
Meat/Poultry/Other Animals  Prepared/Processed,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals  Unprepared/Unprocessed,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals - Prepared/Processed,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals - Unprepared/Unproce...,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals – Prepared/Processed,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals – Unprepared/Unproce...,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals Sausages  Prepared/P...,Meat/Poultry/Other Animals
Meat/Poultry/Other Animals Sausages - Prepared/...,Meat/Poultry/Other Animals
Mexican Dinner Mixes,Dinnex Mixes
Milk,Milk
Milk Additives,Milk
Milk/Cream - Shelf Stable,Milk
Milk/Milk Substitutes,Milk
Miscellanious,Miscellanious
Non Alcoholic Beverages  Not Ready to Drink,Non Alcoholic Beverages
Non Alcoholic Beverages  Ready to Drink,Non Alcoholic Beverages
Non Alcoholic Beverages - Ready to Drink,Non Alcoholic Beverages
Non Alcoholic Beverages – Ready to Drink,Non Alcoholic Beverages
Nut & Seed Butters,Nut & Seed Butters
Nuts/Seeds  Prepared/Processed,Nuts / Seeds
Nuts/Seeds - Prepared/Processed,Nuts / Seeds
Nuts/Seeds – Prepared/Processed,Nuts / Seeds
"Oriental, Mexican & Ethnic Sauces","Oriental, Mexican & Ethnic Sauces"
Other Condiments,Other Condiments
Other Cooking Sauces,Other Cooking Sauces
Other Deli,Other Deli
Other Drinks,Other Drinks
Other Frozen Desserts,Other Frozen Desserts
Other Frozen Meats,Other Frozen Meats
Other Grains & Seeds,Other Grains & Seeds
Other Meats,Other Meats
Other Snacks,Other Snacks
Other Soups,Other Soups
"Pancakes, Waffles, French Toast & Crepes","Pancakes, Waffles, French Toast & Crepes"
Pasta by Shape & Type,Pasta/Noodles
Pasta Dinners,Pasta/Noodles
Pasta/Noodles,Pasta/Noodles
Pastry Shells & Fillings,Baking/Cooking Mixes (Shelf Stable)
"Pepperoni, Salami & Cold Cuts",Meat/Poultry/Other Animals
"Pickles, Olives, Peppers & Relishes","Pickles, Olives, Peppers & Relishes"
Pickles/Relishes/Chutneys/Olives,"Pickles, Olives, Peppers & Relishes"
Pies/Pastries/Pizzas/Quiches - Savoury (Frozen),Pizza Mixes & Other Dry Dinners
Pizza,Pizza Mixes & Other Dry Dinners
Pizza Mixes & Other Dry Dinners,Pizza Mixes & Other Dry Dinners
Plant Based Milk,Plant Based Milk
Plant Based Water,Plant Based Water
"Popcorn, Peanuts, Seeds & Related Snacks","Popcorn, Peanuts, Seeds & Related Snacks"
"Poultry, Chicken & Turkey","Poultry, Chicken & Turkey"
Powdered Drinks,Powdered Drinks
Pre-Packaged Fruit & Vegetables,Pre-Packaged Fruit & Vegetables
Prepared Meals,Prepared Meals
Prepared Pasta & Pizza Sauces,Prepared Pasta & Pizza Sauces
Prepared Soups,Prepared Soups
Prepared Subs & Sandwiches,Sandwiches/Filled Rolls/Wraps
Prepared Wraps and Burittos,Prepared Wraps and Burittos
Prepared/Preserved Foods Variety Packs,Prepared/Preserved Foods Variety Packs
Processed Cereal Products,Processed Cereal Products
Puddings & Custards,Puddings & Custards
Ready-Made Combination Meals,Ready-Made Combination Meals
Ready-Made Combination Meals - Not Ready to Eat...,Ready-Made Combination Meals - Not Ready to Eat...
Rice,Rice
